id,name,country,city,bic,street,street2,zip,phone
62,Coop. De A. Y C. Coopartamos Ltda,COOPERATIVA DE AHORRO Y CREDITO COOPARTAMOS LTDA,Ecuador,RUMINAHUI,OAEPECE1,,,,
63,Coop. De A. Y C. Emprendedores Coopemprender Ltda.,COOPERATIVA DE AHORRO Y CREDITO EMPRENDEDORES COOPEMPRENDER LIMITADA,Ecuador,QUITO,OAEEECE1,,,,
64,Coop. De A. Y C. Nueva Loja Ltda.,Coop. De A. Y C. Nueva Loja Ltda.,Ecuador,,250,,
65,Coop. De A. Y C. Pichncha Ltda.,COOPERATIVA DE AHORRO Y CREDITO PICHINCHA LTDA.,Ecuador,QUITO,OAIHECE1,,,,
66,Coop. Credito Y Ahorro San Francisco De Asis,COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LTDA.,Ecuador,QUITO,CHTNECE1,,,,
67,Coop.De Ahorro Y Credito Cacec Ltda. (Cotopaxi),COOPERATIVA DE AHORRO Y CREDITO COCA LTDA,Ecuador,QUITO Y BOLIVAR,OAOCECE1,,,,
68,Coop.De A. Y C. Vencedores De Pichincha Ltda.,COOPERATIVA DE AHORRO Y CREDITO VENCEDORES DE PICHINCHA LTDA CACVP,Ecuador,QUITO,CHDVECE1,,,,
69,Cooperativa De Ahorro Y Credito San Bartolo Ltda,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE LTDA,Ecuador,CHIMBO,CSJSECE1,,,,
70,Coop. De A. Y C. Del Emigrante Ecuatoriano Y Su Fa,COOPERATIVA DE AHORRO Y CREDITO DEL EMIGRANTE ECUATORIANO Y SU FAMILIA LTDA,Ecuador,GUAYAQUIL,OAREECE1,,,,
71,Coop. Ahorro Y Credito La Libertad Ltda,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
72,Coac Cuna De La Nacionalidad Ltda.,Coac Cuna De La Nacionalidad Ltda.,Ecuador,,259,,
73,Cooperativa De Ahorro Y Credito Macodes Ltda,COOPERATIVA DE AHORRO Y CREDITO MERCED LTDA,Ecuador,CUENCA,CSMDECE1,,,,
74,Cooperativa De Ahorro Y Credito Santa Isabel Ltda.,COOPERATIVA DE AHORRO Y CREDITO SANTA ISABEL LTDA,Ecuador,LOJA,OADSECE1,,,,
75,Cooperativa De Ahorro Y Credito Ganansol Ltda,COOPERATIVA DE AHORRO Y CREDITO GANANSOL LTDA,Ecuador,GUALACEO,OARGECE1,,,,
76,Cooperativa De Ahorro Y Credito Del Azuay,COOPERATIVA DE AHORRO Y CREDITO DEL AZUAY,Ecuador,GUALACEO,CHCZECE1,,,,
77,Cooperativa De Ahorro Y Credito Del Colegio De Arq,COOPERATIVA DE AHORRO Y CREDITO COLEGIO DE INGENIEROS CIVILES DEL AZUAY C.I.C.A.,Ecuador,CUENCA,OHCCECE1,,,,
78,Cooperativa De Ahorro Y Credito Nukanchik,COOPERATIVA DE AHORRO Y CREDITO NUKA LLAKTA LTDA,Ecuador,RIOBAMBA,CHTKECE1,,,,
79,Coop De Ahorro Y Credito Santa Ana Cuenca,COOPERATIVA DE AHORRO Y CREDITO SANTA ANA LTDA,Ecuador,SANTA ANA,OHCTECE1,,,,
80,Cooperativa De Ahorro Y Credito Multiempresarial L,COOPERATIVA DE AHORRO Y CREDITO MULTIEMPRESARIAL,Ecuador,CUENCA,OHRLECE1,,,,
81,Coac Del Sindicato De Choferes Profesionales Del A,Coac Del Sindicato De Choferes Profesionales Del A,Ecuador,,269,,
82,Coop. Ahorro Y Credito Juan De Salinas Ltda.,COOPERATIVA DE AHORRO Y CREDITO JUAN DE SALINAS,Ecuador,SANGOLQUI,CJSLECE1,,,,
83,Coop. Ahorro Y Credito Puellaro Ltda,COOPERATIVA DE AHORRO Y CREDITO PUELLARO LTDA,Ecuador,QUITO,CRPUECE1,,,,
84,Coop. Ahorro Y Credito Nueva Jerusalen,COOPERATIVA DE AHORRO Y CREDITO LA NUEVA JERUSALEN,Ecuador,QUITO,CDNJECE1,,,,
85,Coop. Ahorro Y Credito Malchingui Ltda.,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO LTDA.,Ecuador,QUITO,CHCRECE1,,,,
86,Coop. De Ahorro Y Credito Chola Cuencana Ltda.,COOPERATIVA DE AHORRO Y CREDITO CHOLA CUENCANA LTDA.,Ecuador,CUENCA,OAEHECE1,,,,
87,Coop. Ahorro Y Credito Tena Ltda.,COOPERATIVA DE AHORRO Y CREDITO TENA LTDA,Ecuador,TENA,CTENECE1,,,,
88,Coop. Ahorro Y Credito De La Pequena Empresa Guala,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA GUALAQUIZA,Ecuador,GUALAQUIZA,CPEQECE1,,,,
89,Coop. Ahorro Y Credito Alianza Minas Ltda.,COOPERATIVA DE AHORRO Y CREDITO ALIANZA MINAS LTDA,Ecuador,SAN JOSE DE MINAS,CAZMECE1,,,,
90,Coop. De Ahorro Y Credito Pedro Moncayo Ltda.,COOPERATIVA DE AHORRO Y CREDITO PEDRO MONCAYO LTDA,Ecuador,PEDRO MONCAYO,CPMYECE1,,,,
91,Cooperativa De Ahorro Y Credito Provida,COOPERATIVA DE AHORRO Y CREDITO PUCARA LTDA,Ecuador,PASTOCALLE,OHCPECE1,,,,
92,Cooperativa De Ahorro Y Credito San Jose S.J.,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE S.J.,Ecuador,CUENCA,CSJOECE1,,,,
93,Coop. Ahorro Y Credito Senor De Giron,COOPERATIVA DE AHORRO Y CREDITO SENOR DE GIRON,Ecuador,GIRON,CSOGECE1,,,,
94,Coop. De Ahorro Y Credito Educ.Del Tungurahua Ltda,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES DE TUNGURAHUA LTDA,Ecuador,AMBATO,CETAECE1,,,,
95,Cooperativa 15 De Agosto Pilacoto,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,Ecuador,LATACUNGA,CDRGECE1,,,,
96,Coop. De Ahorro Y Credito Cristo Rey,COOPERATIVA DE AHORRO Y CREDITO CRISTO REY,Ecuador,LOJA,CRIYECE1,,,,
97,Coop. De Ahorro Y Credito Educadores De Chimborazo,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES PRIMARIOS DEL COTOPAXI,Ecuador,LATACUNGA,OACDECE1,,,,
98,Cooperativa De Ahorro Y Credito Minga Ltda.,COOPERATIVA DE AHORRO Y CREDITO MINGA LTDA,Ecuador,RIOBAMBA,CMINECE1,,,,
99,Coop. De Ahorro Y Credito 4 De Octubre Ltda.,COOPERATIVA DE AHORRO Y CREDITO 4 DE OCTUBRE,Ecuador,PENIPE,CEOCECE1,,,,
100,Coop. De Ahorro Y Credito Credi Facil Ltda.,COOPERATIVA DE AHORRO Y CREDITO CREDI FACIL LTDA,Ecuador,AMBATO,OHCIECE1,,,,
101,Coop. De Ahorro Y Credito Alfonso Jaramillo C.C.C.,COOPERATIVA DE AHORRO Y CREDITO ALFONSO JARAMILLO LEON C.C.C,Ecuador,CUENCA,CFJLECE1,,,,
102,Coop. De A. Y C. Indigena Sac Pelileo,Coop. De A. Y C. Indigena Sac Pelileo,Ecuador,,297,,
103,Coop. De A. Y C. Intercultural Tawantinsuyu Ltda.,COOPERATIVA DE AHORRO Y CREDITO INTERCULTURAL TAWANTINSUYU LTDA,Ecuador,AMBATO,OAOTECE1,,,,
104,Coop. De A. Y C. Ocipsa,Coop. De A. Y C. Ocipsa,Ecuador,,299,,
105,Coop. De A. Y C. 21 De Noviembre Ltda.,COOPERATIVA DE AHORRO Y CREDITO 21 DE NOVIEMBRE LTDA,Ecuador,AMBATO,CRTVECE1,,,,
106,Coop. De A. Y C. La Floresta Ltda.,COOPERATIVA DE AHORRO Y CREDITO LA FLORESTA LTDA,Ecuador,AMBATO,OAELECE1,,,,
107,Coop. De A. Y C. Corp. Org. Campesinas De Quisapin,COOPERATIVA DE AHORRO Y CREDITO DE LA CORP DE ORG. CAMPESINAS INDIGENAS DE QUISAPINCHA COCIQ,Ecuador,AMBATO,OAIOECE1,,,,
108,Coop. De A. Y C. Multicultural Banco Indigena Ltda,COOPERATIVA DE AHORRO Y CREDITO MULTICULTURAL INDIGENA LTDA,Ecuador,AMBATO,CHTMECE1,,,,
109,Coop De A. Y C. Crecer Winari Ltda.,COOPERATIVA DE AHORRO Y CREDITO CRECER WINARI LTDA,Ecuador,AMBATO,OACCECE1,,,,
110,Coop. De A. Y C. Banos De Agua Santa Ltda.,Coop. De A. Y C. Banos De Agua Santa Ltda.,Ecuador,,305,,
111,Coop. De Ahorro Y Credito 1 De Julio,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,Ecuador,AMBATO,CORJECE1,,,,
112,Coop. De A. Y C. Sumak Nan Ltda.,COOPERATIVA DE AHORRO Y CREDITO SUMAK NAN LTDA.,Ecuador,AMBATO,CRTKECE1,,,,
113,Cooperativa De Ahorro Y Credito Canar Ltda.,COOPERATIVA DE AHORRO Y CREDITO CANAR LTDA,Ecuador,GUAYAQUIL,OADCECE1,,,,
114,Cooperativa De Ahorro Y Credito San Antonio Ltda.,COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO LTDA,Ecuador,IBARRA,OAESECE1,,,,
115,Coop. De Ahorro Y Credito Fundar,COOPERATIVA DE AHORRO Y CREDITO FONDO PARA EL DESARROLLO Y LA VIDA,Ecuador,QUITO,OHDFECE1,,,,
116,Coop. Ahorro Y Credito Metropolis Ltda.,COOPERATIVA DE AHORRO Y CREDITO METROPOLIS LTDA,Ecuador,QUINSALOMA,OHDMECE1,,,,
117,Coop. De Ahorro Y Credito El Cafetal,COOPERATIVA DE AHORRO Y CREDITO EL CAFETAL,Ecuador,BABAHOYO,OHCFECE1,,,,
118,Coop.De Ahorro Y Credito Microempresarial Sucre,COOPERATIVA DE AHORRO Y CREDITO MICROEMPRESARIAL SUCRE,Ecuador,SUCRE,OHCMECE1,,,,
119,Coop. De A. Y C. Afroecuatoriana De La Peq. Emp. L,Coop. De A. Y C. Afroecuatoriana De La Peq. Emp. L,Ecuador,,315,,
120,Cooperativa De Ahorro Y Credito Joyocoto Ltda.,COOPERATIVA DE AHORRO Y CREDITO JOYOCOTO LTDA,Ecuador,GUARANDA,CATJECE1,,,,
121,Coop. Ahorro Y Credito San Antonio Ltda.,COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO LTDA,Ecuador,IBARRA,OAESECE1,,,,
122,Coop. De A. Y C. Uniotavalo Ltda.,COOPERATIVA DE AHORRO Y CREDITO UNIOTAVALO LTDA,Ecuador,OTAVALO,CHTVECE1,,,,
123,Coop. De A. Y C. Union El Ejido,COOPERATIVA DE AHORRO Y CREDITO UNION EL EJIDO,Ecuador,COTACACHI,OAEIECE1,,,,
124,Coop. De A. Y C. Genesis Ltda.,Coop. De A. Y C. Genesis Ltda.,Ecuador,,320,,
125,Coop. De A Y C. Maria Auxiliadora De Quiroga Ltda,Coop. De A Y C. Maria Auxiliadora De Quiroga Ltda,Ecuador,,321,,
126,Coop. De A. Y C. Fortaleza,Coop. De A. Y C. Fortaleza,Ecuador,,322,,
127,Banco Para La Asistencia Comunitaria Finca S.A.,BANCO FINCA S.A.,Ecuador,Quito,FCNCECE1,Av.Rio Amazonas N39-123,José Arizaga,170135,(02)2461660
128,Coop. Calceta Ltda,COOPERATIVA DE AHORRO Y CREDITO CALCETA LTDA,Ecuador,CALCETA,OATEECE1,,,,
129,Coop. Ahorro Y Credito 9 De Octubre Ltda,COOPERATIVA DE AHORRO Y CREDITO 9 DE OCTUBRE LTDA,Ecuador,SALCEDO,CHDTECE1,,,,
130,Coop. Ahorro Y Credito D La Peq Empr Cacpe Biblian,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA BIBLIAN LTDA,Ecuador,BIBLIAN,CPMBECE1,,,,
131,Coop. Ahorro Y Credito San Gabriel Ltda.,COOPERATIVA DE AHORRO Y CREDITO SAN GABRIEL LTDA,Ecuador,MONTUFAR,CSGAECE1,,,,
132,Coop. Ahorro Y Credito San Jose Ltda,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE LTDA,Ecuador,CHIMBO,CSJSECE1,,,,
133,Coop. Ahorro Y Credito San Miguel De Los Bancos,COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL DE LOS BANCOS LTD,Ecuador,SAN MIGUEL DE LOS BANCOS,CSMNECE1,,,,
134,Coop. Ahorro Y Credito Semilla Del Progreso Ltda,COOPERATIVA DE AHORRO Y CREDITO SEMILLA DEL PROGRESO LTDA,Ecuador,SARAGURO,CESGECE1,,,,
135,Coop. Ahorro. Y Credi. Mujeres Unidas Tantanakushk,COOPERATIVA DE AHORRO Y CREDITO MUJERES UNIDAS,Ecuador,IBARRA,CDMUECE1,,,,
136,Coop. De Ahorro Y Cred. Santa Rosa Ltda,COOPERATIVA DE AHORRO Y CREDITO SANTA ROSA LTDA,Ecuador,SANTA ROSA,CHDNECE1,,,,
137,Coop. De Ahorro Y Credito Once De Junio,COOPERATIVA DE AHORRO Y CREDITO ONCE DE JUNIO,Ecuador,MACHALA,CHRNECE1,,,,
138,Coop. De A. Y C. Pujili Ltda,COOPERATIVA DE AHORRO Y CREDITO PUJILI LTDA.,Ecuador,PUJILI,CHTJECE1,,,,
139,Coop. De A. Y C. Credil Ltda.,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
140,Coop. De A. Y C. Mushuk Pakari Ltda.,Coop. De A. Y C. Mushuk Pakari Ltda.,Ecuador,,339,,
141,Coop. De A. Y C. Uniblock Y Servicios Ltda.,COOPERATIVA DE AHORRO Y CREDITO UNIBLOCK Y SERVICIOS LTDA,Ecuador,LATACUNGA,CHDKECE1,,,,
142,Coop. De A. Y C. San Fernando Limitada,COOPERATIVA DE AHORRO Y CREDITO SAN FERNANDO LTDA,Ecuador,AMBATO,OAEFECE1,,,,
143,Coop. De A. Y C. Futuro Lamanense,COOPERATIVA DE AHORRO Y CREDITO FUTURO LAMANENSE,Ecuador,LA MANA,OHETECE1,,,,
144,Coop. De A. Y C. Saquisili Ltda.,COOPERATIVA DE AHORRO Y CREDITO SAQUISILI LTDA.,Ecuador,SAQUISILI,CRCQECE1,,,,
145,Coop. De A. Y C. Innovacion Andina Ltda.,COOPERATIVA DE AHORRO Y CREDITO INNOVACION ANDINA LTDA.,Ecuador,LATACUNGA,OHCVECE1,,,,
146,Coop.De A.Y C. El Comerciante Ltda (Mies),COOPERATIVA DE AHORRO Y CREDITO COMERCIO LTDA,Ecuador,PORTOVIEJO,CHRCECE1,,,,
147,Coop. De A. Y C. Mushuk Wasi Ltda ( Mies ),COOPERATIVA DE AHORRO Y CREDITO MUSHUKWASI,Ecuador,SARAGURO,CAEWECE1,,,,
148,Cooperativa De Ahorro Y Credito Solidaria Ltda,COOPERATIVA DE AHORRO Y CREDITO SOLIDARIA LTDA,Ecuador,LOJA,OARSECE1,,,,
149,Cooperativa De Ahorro Y Credito Llanganates,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
150,Interdin S.A.,Interdin S.A.,Ecuador,,349,,
151,Coop.Aho Y Credito De La Peq. Emp. De Loja Cacpe,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA CACPE LOJA LTDA,Ecuador,LOJA,CARQECE1,,,,
152,Cooperativa De Ahorro Y Credito Economia Del Sur C,COOPERATIVA DE AHORRO Y CREDITO ECONOMIA DEL SUR ECOSUR,Ecuador,SARAGURO,OADEECE1,,,,
153,Cooperativa De Ahorro Y Credito Migrantes Y Empren,COOPERATIVA DE AHORRO Y CREDITO EL MIGRANTE SOLIDARIO,Ecuador,BIBLIAN,CHDGECE1,,,,
154,Cooperativa De Ahorro Y Credito San Sebastian,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE LTDA,Ecuador,CHIMBO,CSJSECE1,,,,
155,Coop. De A. Y C. Del Sindicato De Choferes Profesi,COOPERATIVA DE AHORRO Y CREDITO DEL SINDICATO DE CHOFERES PROFESIONALES DEL AZUAY LTDA,Ecuador,CUENCA,OADTECE1,,,,
156,Coop.De Ahorro Y Credito 29 De Enero,COOPERATIVA DE AHORRO Y CREDITO 23 DE ENERO,Ecuador,PUYANGO,OHREECE1,,,,
157,Coop. Ahorro Y Credito Agraria Mushuk Kawsay Ltda.,COOPERATIVA DE AHORRO Y CREDITO MUSHUK KAWSAY LTDA,Ecuador,QUITO,CAMWECE1,,,,
158,Cooperativa De Ahorro Y Credito Runa Shungo Ltda.,COOPERATIVA DE AHORRO Y CREDITO MUSHUC RUNA LTDA,Ecuador,AMBATO,CMRUECE1,,,,
159,Coop. De A. Y C. San Marcos,COOPERATIVA DE AHORRO Y CREDITO SAN MARCOS,Ecuador,AZOGUES,OACSECE1,,,,
160,Coop. De A. Y C. Antorcha Ltda.,COOPERATIVA DE AHORRO Y CREDITO ANTORCHA LTDA.,Ecuador,ESMERALDAS,OARHECE1,,,,
161,Cooperativa De Ahorro Y Credito Socio Amigo,COOPERATIVA DE AHORRO Y CREDITO SOCIO AMIGO COOPSA,Ecuador,MARCABELI,OAEOECE1,,,,
162,Coop. De A. Y C. Indigenas Galapagos Ltda.,COOPERATIVA DE AHORRO Y CREDITO INDIGENAS GALAPAGOS LTDA.,Ecuador,SANTA CRUZ,OHRGECE1,,,,
163,Coop. Ahorro Y Credito Camara De Comercio Del Cant,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIODEL CANTON EL CARMEN LTDA,Ecuador,EL CARMEN,OAERECE1,,,,
164,Cooperativa De Ahorro Y Credito La Benefica Ltda.,COOPERATIVA DE AHORRO Y CREDITO LA BENEFICA LTDA,Ecuador,EL CARMEN,CHEFECE1,,,,
165,Coop.De Ahorro Y Credito Abdon Calderon Ltda.,COOPERATIVA DE AHORRO Y CREDITO ABDON CALDERON LTDA,Ecuador,PORTOVIEJO,OACBECE1,,,,
166,Coop. A Y C Camara De Comercio Canton -El Carmen L,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIODEL CANTON EL CARMEN LTDA,Ecuador,EL CARMEN,OAERECE1,,,,
167,Coop.De Ahorro Y Credito Agroproductiva Manabi Ltd,COOPERATIVA DE AHORRO Y CREDITO CACPE MANABI,Ecuador,PORTOVIEJO,OACPECE1,,,,
