id,name,country,city,bic,street,street2,zip,phone
1,Banco Central Del Ecuador,BANCO CENTRAL DEL ECUADOR,Ecuador,GUAYAQUIL,BCENECEQ120,,,,
2,Banco Pichincha C.A.,BANCO PICHINCHA C.A.,Ecuador,Quito,PICHECEQ,Av.Amazonas N39-34,Pereira,170801,(02)2980980
3,Banco De Guayaquil S.A,BANCO GUAYAQUIL S.A.,Ecuador,Guayaquil,GUAYECEG,Panama,Victor Manuel Rendon,90313,(04)3730100
4,Banco City Bank,Banco City Bank,Ecuador,,24,,
5,Banco Machala,"BANCO DE MACHALA, C.A.",Ecuador,Machala,BMACECEG,9 de Mayo,Rocafuerte,90313,(07)2930100
6,Banco De Loja,BANCO DE LOJA,Ecuador,Loja,LOJBECEL,Simon Bolivar,Vicente Rocafuerte,110108,(07)2593500
7,Banco Del Pacifico,BANCO DEL PACIFICO,Ecuador,Guayaquil,PACIECEG,Francisco Paula de Icaza,Pedro Carbo,90313,(04)3731500
8,Banco Internacional,BANCO INTERNACIONAL S.A.,Ecuador,Quito,BINTECEQ,Av.Patria E4-21,9 de Octubre,170143,(02)4009100
9,Banco Amazonas,BANCO AMAZONAS S.A.,Ecuador,Guayaquil,BASAECEG,Av.Francisco de Orellana,1er Pasaje 10,90512,(04)6021100
10,Banco Del Austro,BANCO DEL AUSTRO S.A.,Ecuador,Quito,AUSTECEQ,Amazonas,Sta María,170515,1800228787
11,Produbanco / Promerica,Produbanco / Promerica,Ecuador,,36,,
12,Banco Bolivariano,BANCO BOLIVARIANO C.A.,Ecuador,Guayaquil,BBOLECEG,Junín 200,Panamá,90313,(04)2305000
13,Banco Comercial De Manabi,BANCO COMERCIAL DE MANABI S.A.,Ecuador,Portoviejo,CBMIECE1,Av.Reales Tamarindos,Calle Alamos,130101,(05)2440102
14,Banco General Ruminahui S.A.,BANCO GENERAL RUMINAHUI S.A.,Ecuador,Guayaquil,BGRMECEQ,Av.Luis Plaza Dañin,Av.Pedro Menéndez Gilbert,90513,(04)2000000
15,Banco Del Litoral S.A.,BANCO DEL LITORAL,Ecuador,Guayaquil,LITBECEF,Avenida 12 NE 514,Av.Circunvalación Sur,90313,(04)3730510
16,Banco Solidario,BANCO SOLIDARIO,Ecuador,Quito,BSGEECEQ,Av.Río Amazonas,Corea,170135,(02)3950600
17,Banco Procredit S.A.,BANCO PROCREDIT S.A.,Ecuador,Quito,PRCBECEQ,Atahualpa y Amazonas Esq,,170135,(02) 6003820
18,Banco Capital,BANCO CAPITAL S.A,Ecuador,Quito,BCAPECEQ,Av.Río Amazonas 3461,Av.Atahualpa,170135,(02)2259021
19,Banco Desarrollo De Los Pueblos S.A.,BANCO DESARROLLO DE LOS PUEBLOS S.A.,Ecuador,Coca,CODSECEQ,Francisco de Orellana,,,(06)2882105
20,Banecuador B.P.,Banecuador B.P.,Ecuador,,66,,
21,Coop. Ahorro Y Credito 15 De Abril Ltda,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,Ecuador,PORTOVIEJO,CHDRECE1,,,,
22,Coop. Jardin Azuayo,COOPERATIVA DE AHORRO Y CREDITO JARDIN AZUAYO LTDA,Ecuador,PAUTE,CCJAECE1,,,,
23,Coop.De Ahorro Y Credito Policia Nacional,COOPERATIVA DE AHORRO Y CREDITO POLICIA NACIONAL LTDA,Ecuador,QUITO,CPCCECE1,,,,
24,Financoop,Financoop,Ecuador,,82,,
25,Banco Delbank S.A.,BANCO DELBANK S.A.,Ecuador,GUAYAQUIL,DEBNECE1,,,,
26,Banco Ecuatoriano De La Vivienda,BANCO CENTRAL DEL ECUADOR,Ecuador,GUAYAQUIL,BCENECEQ120,,,,
27,Cacpeco Ltda,Cacpeco Ltda,Ecuador,,203,,
28,C.Peq.Empresa De Pastaza,C.Peq.Empresa De Pastaza,Ecuador,,204,,
29,Coop. Ahorro Y Credito 23 De Julio,COOPERATIVA DE AHORRO Y CREDITO 23 DE JULIO LTDA,Ecuador,CAYAMBE,CACJECE1,,,,
30,Coop. Ahorro Y Credito 29 De Octubre,COOPERATIVA DE AHORRO Y CREDITO '29 DE OCTUBRE' LTDA,Ecuador,CUENCA,COOCECE1320,,,,
31,Coop. Ahorro Y Credito Andalucia,COOPERATIVA DE AHORRO Y CREDITO ANDALUCIA LTDA,Ecuador,QUITO,CHEDECE1,,,,
32,Coop. Ahorro Y Credito Cotocollao,COOPERATIVA DE AHORRO Y CREDITO COCA LTDA,Ecuador,QUITO Y BOLIVAR,OAOCECE1,,,,
33,Coop. Ahorro Y Credito El Sagrario,COOPERATIVA DE AHORRO Y CREDITO EL SAGRARIO LTDA,Ecuador,AMBATO,CHSGECE1,,,,
34,Coop. Ahorro Y Credito Guaranda Ltda,COOPERATIVA DE AHORRO Y CREDITO GUARANDA LTDA,Ecuador,GUARANDA,CRGNECE1,,,,
35,Coop. Juventud Ecuatoriana Progresista Ltda.,COOPERATIVA DE AHORRO Y CREDITO JUVENTUD ECUATORIANA PROGRESISTA LTDA.,Ecuador,CUENCA,CJEPECEQ,,,,
36,Coop. Ahorro Y Credito Manuel,COOPERATIVA DE AHORRO Y CREDITO VICENTINA MANUEL ESTEBAN GODOY ORTEGA LTDA,Ecuador,LOJA,CPGMECE1,,,,
37,Coop. Ahorro Y Credito Oscus,COOPERATIVA DE AHORRO Y CREDITO OSCUS LTDA,Ecuador,AMBATO,CSOSECE1,,,,
38,Coop. Ahorro Y Credito Pablo Munoz Vega,COOPERATIVA DE AHORRO Y CREDITO PABLO MUNOZ VEGA,Ecuador,TULCAN,CHCBECE1,,,,
39,Coop. Ahorro Y Credito Progreso,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO LTDA.,Ecuador,QUITO,CHCRECE1,,,,
40,Coop. Ahorro Y Credito Riobamba,COOPERATIVA DE AHORRO Y CREDITO RIOBAMBA,Ecuador,RIOBAMBA,CHDMECE1,,,,
41,Coop. Ahorro Y Credito San Francisco,COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LTDA.,Ecuador,QUITO,CHTNECE1,,,,
42,Coop. Ahorro Y Credito Tulcan,COOPERATIVA DE AHORRO Y CREDITO TULCAN,Ecuador,TULCAN,CHRLECE1,,,,
43,Coop. De Ahorro Y Credito Atuntaqui Ltda.,COOPERATIVA DE AHORRO Y CREDITO ATUNTAQUI LTDA,Ecuador,ATUNTAQUI,CATQECE1,,,,
44,Coop. De Ahorro Y Credito Comercio Ltda Portoviejo,COOPERATIVA DE AHORRO Y CREDITO COMERCIO LTDA,Ecuador,PORTOVIEJO,CHRCECE1,,,,
45,Coop. De Ahorro Y Credito La Dolorosa Ltda,COOPERATIVA DE AHORRO Y CREDITO LA DOLOROSA LTDA.,Ecuador,DURAN,CHTDECE1,,,,
46,Coop. Prevision Ahorro Y Desarrollo,COOPERATIVA DE AHORRO Y CREDITO FUTURO Y DESARROLLO FUNDESARROLLO,Ecuador,QUITO,CHTFECE1,,,,
47,Coop.Ahorro Y Credito Alianza Del Valle Ltda,COOPERATIVA DE AHORRO Y CREDITO ALIANZA DEL VALLE LTDA,Ecuador,AMAGUANA,CAEZECE1,,,,
48,Coop Ahorro Y Credito Constrc Comercio Y Produc,COOPERATIVA DE AHORRO Y CREDITO CONSTRUCCION COMERCIO Y PRODUCCION LTDA,Ecuador,QUITO,CHDOECE1,,,,
49,Coop.Ahorro Y Credito Chone Ltda,COOPERATIVA DE AHORRO Y CREDITO CHONE LTDA,Ecuador,CHONE,CADHECE1,,,,
50,Cooperativa De Ahorro Y Credito Santa Ana Ltda,COOPERATIVA DE AHORRO Y CREDITO SANTA ANA LTDA,Ecuador,SANTA ANA,OHCTECE1,,,,
51,Financiera - Diners Club Del Ecuador,DINERS CLUB DEL ECUADOR S.A.,Ecuador,QUITO,DICDECEQ,,,,
52,Mutualista Ambato,ASOCIACION MUTUALISTA AMBATO,Ecuador,AMBATO,MUATECE1,,,,
53,Mutualista Azuay,MUTUALISTA AZUAY,Ecuador,CUENCA,MUAZECE1,,,,
54,Mutualista Imbabura,MUTUALISTA IMBABURA,Ecuador,IBARRA,MUIMECE1,,,,
55,Mutualista Pichincha,MUTUALISTA AZUAY,Ecuador,CUENCA,MUAZECE1,,,,
56,Coop De A. Y C. Corporacion Centro Ltda.,COOPERATIVA DE AHORRO Y CREDITO CORPORACION CENTRO LTDA,Ecuador,QUITO,CHDPECE1,,,,
57,Coop. De A. Y C. Cordillera De Los Andes Ltda.,Coop. De A. Y C. Cordillera De Los Andes Ltda.,Ecuador,,242,,
58,Coop. De A. Y C. Puerto Francisco De Orellana,COOPERATIVA DE AHORRO Y CREDITO PUERTO FRANCISCO DE ORELLANA,Ecuador,QUITO,OARPECE1,,,,
59,Coop. De A Y C. Luz Del Valle,COOPERATIVA DE AHORRO Y CREDITO LUZ DEL VALLE,Ecuador,RUMINAHUI,CATZECE1,,,,
60,Coop. De A Y C. Esperanza Y Progreso Del Valle,COOPERATIVA DE AHORRO Y CREDITO ESPERANZA Y PROGRESO DEL VALLE,Ecuador,RUMINAHUI,CAOZECE1,,,,
61,Coop. De A. Y C. Choco Tungurahua Runa Ltda,COOPERATIVA DE AHORRO Y CREDITO CHOCO TUNGURAHUA RUNA LTDA,Ecuador,QUITO,CAIHECE1,,,,
