"id","canton_id:id","code","name"
"__export__.ote_parroquia_020101",,"020101","Ángel Polibio Cháves"
"__export__.ote_parroquia_020102",,"020102","Gabriel Ignacio Veintimilla"
"__export__.ote_parroquia_020103",,"020103","Guanujo"
"__export__.ote_parroquia_020150",,"020150","Guaranda"
"__export__.ote_parroquia_020151",,"020151","Facundo Vela"
"__export__.ote_parroquia_020152",,"020152"," Guanujo"
"__export__.ote_parroquia_020153",,"020153","Julio E. Moreno (Catanahuán Grande)"
"__export__.ote_parroquia_020154",,"020154","Las Naves"
"__export__.ote_parroquia_020155",,"020155","Salinas"
"__export__.ote_parroquia_020156",,"020156","San Lorenzo"
"__export__.ote_parroquia_020157",,"020157","San Simón (Yacoto)"
"__export__.ote_parroquia_020158",,"020158","Santa Fé (Santa Fé)"
"__export__.ote_parroquia_020159",,"020159","Simiátug"
"__export__.ote_parroquia_020160",,"020160","San Luis de Pambil"
"__export__.ote_parroquia_020250",,"020250","Chillanes"
"__export__.ote_parroquia_020251",,"020251","San José del Tambo (Tampopamba)"
"__export__.ote_parroquia_020350",,"020350","San José de Chimbo"
"__export__.ote_parroquia_020351",,"020351","Asunción (Asancoto)"
"__export__.ote_parroquia_020352",,"020352","Caluma"
"__export__.ote_parroquia_020353",,"020353","Magdalena (Chapacoto)"
"__export__.ote_parroquia_020354",,"020354","San Sebastián"
"__export__.ote_parroquia_020355",,"020355","Telimbela"
"__export__.ote_parroquia_020450",,"020450","Echeandía"
"__export__.ote_parroquia_020550",,"020550","San Miguel"
"__export__.ote_parroquia_020551",,"020551","Balsapamba"
"__export__.ote_parroquia_020552",,"020552","Bilován"
"__export__.ote_parroquia_020553",,"020553","Régulo de Mora"
"__export__.ote_parroquia_020554",,"020554","San Pablo (San Pablo de Atenas)"
"__export__.ote_parroquia_020555",,"020555","Santiago"
"__export__.ote_parroquia_020556",,"020556","San Vicente"
"__export__.ote_parroquia_020650",,"020650","Caluma"
"__export__.ote_parroquia_020701",,"020701","Las Mercedes"
"__export__.ote_parroquia_020702",,"020702","Las Naves"
"__export__.ote_parroquia_020750",,"020750","Las Naves"
"__export__.ote_parroquia_030101",,"030101","Aurelio Bayas Martínez"
"__export__.ote_parroquia_030102",,"030102","Azogues"
"__export__.ote_parroquia_030103",,"030103","Borrero"
"__export__.ote_parroquia_030104",,"030104","San Francisco"
"__export__.ote_parroquia_030150",,"030150","Azogues"
"__export__.ote_parroquia_030151",,"030151","Cojitambo"
"__export__.ote_parroquia_030152",,"030152","Déleg"
"__export__.ote_parroquia_030153",,"030153","Guapán"
"__export__.ote_parroquia_030154",,"030154","Javier Loyola (Chuquipata)"
"__export__.ote_parroquia_030155",,"030155","Luis Cordero"
"__export__.ote_parroquia_030156",,"030156","Pindilig"
"__export__.ote_parroquia_030157",,"030157","Rivera"
"__export__.ote_parroquia_030158",,"030158","San Miguel"
"__export__.ote_parroquia_030159",,"030159","Solano"
"__export__.ote_parroquia_030160",,"030160","Taday"
"__export__.ote_parroquia_030250",,"030250","Biblián"
"__export__.ote_parroquia_030251",,"030251","Nazón (Cab. en Pampa de Domínguez)"
"__export__.ote_parroquia_030252",,"030252","San Francisco de Sageo"
"__export__.ote_parroquia_030253",,"030253","Turupamba"
"__export__.ote_parroquia_030254",,"030254","Jerusalén"
"__export__.ote_parroquia_030350",,"030350","Cañar"
"__export__.ote_parroquia_030351",,"030351","Chontamarca"
"__export__.ote_parroquia_030352",,"030352","Chorocopte"
"__export__.ote_parroquia_030353",,"030353","General Morales (Socarte)"
"__export__.ote_parroquia_030354",,"030354","Gualleturo"
"__export__.ote_parroquia_030355",,"030355","Honorato Vásquez (Tambo Viejo)"
"__export__.ote_parroquia_030356",,"030356","Ingapirca"
"__export__.ote_parroquia_030357",,"030357","Juncal"
"__export__.ote_parroquia_030358",,"030358","San Antonio"
"__export__.ote_parroquia_030359",,"030359","Suscal"
"__export__.ote_parroquia_030360",,"030360","Tambo"
"__export__.ote_parroquia_030361",,"030361","Zhud"
"__export__.ote_parroquia_030362",,"030362","Ventura"
"__export__.ote_parroquia_030363",,"030363","Ducur"
