"id","reconcile","code","name","user_type_id/id","chart_template_id:id"
"102011403","False","102011403","(-) DETERIORO ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN ","account.data_account_type_fixed_assets","l10n_ec"
"1020201","False","1020201","TERRENOS ","account.data_account_type_fixed_assets","l10n_ec"
"1020202","False","1020202","EDIFICIOS ","account.data_account_type_fixed_assets","l10n_ec"
"1020203","False","1020203","(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN ","account.data_account_type_fixed_assets","l10n_ec"
"1020204","False","1020204","(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN ","account.data_account_type_fixed_assets","l10n_ec"
"1020301","False","1020301","ANIMALES VIVOS EN CRECIMIENTO ","account.data_account_type_fixed_assets","l10n_ec"
"1020302","False","1020302","ANIMALES VIVOS EN PRODUCCIÓN ","account.data_account_type_fixed_assets","l10n_ec"
"1020303","False","1020303","PLANTAS EN CRECIMIENTO ","account.data_account_type_fixed_assets","l10n_ec"
"1020304","False","1020304","PLANTAS EN PRODUCCIÓN ","account.data_account_type_fixed_assets","l10n_ec"
"1020305","False","1020305","(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS BIOLÓGICOS ","account.data_account_type_fixed_assets","l10n_ec"
"1020306","False","1020306","(-) DETERIORO ACUMULADO DE ACTIVOS BIOLÓGICOS ","account.data_account_type_fixed_assets","l10n_ec"
"1020401","False","1020401","PLUSVALÍAS ","account.data_account_type_fixed_assets","l10n_ec"
"1020402","False","1020402","MARCAS, PATENTES, DERECHOS DE LLAVE, CUOTAS PATRIMONIALES  Y OTROS SIMILARES ","account.data_account_type_fixed_assets","l10n_ec"
"1020403","False","1020403","ACTIVOS DE EXPLORACION Y EXPLOTACION ","account.data_account_type_fixed_assets","l10n_ec"
"1020404","False","1020404","(-) AMORTIZACIÓN ACUMULADA DE ACTIVO INTANGIBLE ","account.data_account_type_fixed_assets","l10n_ec"
"1020405","False","1020405","(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE ","account.data_account_type_fixed_assets","l10n_ec"
"1020406","False","1020406","OTROS INTANGIBLES ","account.data_account_type_fixed_assets","l10n_ec"
"10205","False","10205","ACTIVOS POR IMPUESTOS DIFERIDOS ","account.data_account_type_fixed_assets","l10n_ec"
"1020601","False","1020601","ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO ","account.data_account_type_fixed_assets","l10n_ec"
"1020602","False","1020602","(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO ","account.data_account_type_fixed_assets","l10n_ec"
"1020603","False","1020603","DOCUMENTOS Y CUENTAS POR COBRAR ","account.data_account_type_fixed_assets","l10n_ec"
"1020604","False","1020604","(-) PROVISIÓN CUENTAS INCOBRABLES DE ACTIVOS FINANCIEROS NO CORRIENTES ","account.data_account_type_fixed_assets","l10n_ec"
"1020701","False","1020701","INVERSIONES SUBSIDIARIAS ","account.data_account_type_fixed_assets","l10n_ec"
"1020702","False","1020702","INVERSIONES ASOCIADAS ","account.data_account_type_fixed_assets","l10n_ec"
"1020703","False","1020703","INVERSIONES NEGOCIOS CONJUNTOS ","account.data_account_type_fixed_assets","l10n_ec"
"1020704","False","1020704","OTRAS INVERSIONES ","account.data_account_type_fixed_assets","l10n_ec"
"1020705","False","1020705","(-) PROVISIÓN VALUACIÓN DE INVERSIONES ","account.data_account_type_fixed_assets","l10n_ec"
"1020706","False","1020706","OTROS ACTIVOS NO CORRIENTES ","account.data_account_type_fixed_assets","l10n_ec"
"20101","False","20101","PASIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADO ","account.data_account_type_current_liabilities","l10n_ec"
"20102","False","20102","PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIEROS ","account.data_account_type_current_liabilities","l10n_ec"
"2010301","True","2010301","LOCALES ","account.data_account_type_payable","l10n_ec"
"2010302","True","2010302","DEL EXTERIOR ","account.data_account_type_payable","l10n_ec"
"2010401","False","2010401","LOCALES ","account.data_account_type_current_liabilities","l10n_ec"
"2010402","False","2010402","DEL EXTERIOR ","account.data_account_type_current_liabilities","l10n_ec"
"2010501","False","2010501","LOCALES ","account.data_account_type_current_liabilities","l10n_ec"
"2010502","False","2010502","DEL EXTERIOR ","account.data_account_type_current_liabilities","l10n_ec"
"20106","False","20106","PORCIÓN CORRIENTE DE OBLIGACIONES EMITIDAS ","account.data_account_type_current_liabilities","l10n_ec"
"2010701","False","2010701","CON LA ADMINISTRACIÓN TRIBUTARIA ","account.data_account_type_current_liabilities","l10n_ec"
"2010702","False","2010702","IMPUESTO A LA RENTA POR PAGAR DEL EJERCICIO ","account.data_account_type_current_liabilities","l10n_ec"
"2010703","False","2010703","CON EL IESS ","account.data_account_type_current_liabilities","l10n_ec"
"2010704","False","2010704","POR BENEFICIOS DE LEY A EMPLEADOS ","account.data_account_type_current_liabilities","l10n_ec"
"2010705","False","2010705","PARTICIPACIÓN TRABAJADORES POR PAGAR DEL EJERCICIO ","account.data_account_type_current_liabilities","l10n_ec"
"2010706","False","2010706","DIVIDENDOS POR PAGAR ","account.data_account_type_current_liabilities","l10n_ec"
"20108","False","20108","CUENTAS POR PAGAR DIVERSAS – RELACIONADAS ","account.data_account_type_current_liabilities","l10n_ec"
"20109","False","20109","OTROS PASIVOS FINANCIEROS ","account.data_account_type_current_liabilities","l10n_ec"
"20110","True","20110","ANTICIPOS DE CLIENTES ","account.data_account_type_current_liabilities","l10n_ec"
"20111","False","20111","PASIVOS DIRECTAMENTE ASOCIADOS CON LOS ACTIVOS NO CORRIENTES Y OPERACIONES DISCONTINUADAS ","account.data_account_type_current_liabilities","l10n_ec"
"2011201","False","2011201","JUBILACIÓN PATRONAL ","account.data_account_type_current_liabilities","l10n_ec"
"2011202","False","2011202","OTROS BENEFICIOS A LARGO PLAZO PARA LOS EMPLEADOS ","account.data_account_type_current_liabilities","l10n_ec"
"20113","False","20113","OTROS PASIVOS CORRIENTES ","account.data_account_type_current_liabilities","l10n_ec"
"20201","False","20201","PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIERO ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020201","False","2020201","LOCALES ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020202","False","2020202","DEL EXTERIOR ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020301","False","2020301","LOCALES ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020302","False","2020302","DEL EXTERIOR ","account.data_account_type_non_current_liabilities","l10n_ec"
