"id","name","applicability"
"__export__.account_account_tag_104401","104_401","taxes"
"__export__.account_account_tag_104402","104_402","taxes"
"__export__.account_account_tag_104403","104_403","taxes"
"__export__.account_account_tag_104404","104_404","taxes"
"__export__.account_account_tag_104405","104_405","taxes"
"__export__.account_account_tag_104406","104_406","taxes"
"__export__.account_account_tag_104407","104_407","taxes"
"__export__.account_account_tag_104408","104_408","taxes"
"__export__.account_account_tag_104431","104_431","taxes"
"__export__.account_account_tag_104434","104_434","taxes"
"__export__.account_account_tag_104500","104_500","taxes"
"__export__.account_account_tag_104501","104_501","taxes"
"__export__.account_account_tag_104502","104_502","taxes"
"__export__.account_account_tag_104503","104_503","taxes"
"__export__.account_account_tag_104504","104_504","taxes"
"__export__.account_account_tag_104505","104_505","taxes"
"__export__.account_account_tag_104506","104_506","taxes"
"__export__.account_account_tag_104507","104_507","taxes"
"__export__.account_account_tag_104508","104_508","taxes"
"__export__.account_account_tag_104531","104_531","taxes"
"__export__.account_account_tag_104532","104_532","taxes"
"__export__.account_account_tag_104535","104_535","taxes"
"__export__.account_account_tag_104609","104_609","taxes"
"__export__.account_account_tag_104721","104_721","taxes"
"__export__.account_account_tag_104723","104_723","taxes"
"__export__.account_account_tag_104725","104_725","taxes"
"__export__.account_account_tag_104727","104_727","taxes"
"__export__.account_account_tag_104729","104_729","taxes"
"__export__.account_account_tag_atsvalretbien10","ATS_valRetBien10","taxes"
"__export__.account_account_tag_atsvalretserv20","ATS_valRetServ20","taxes"
"__export__.account_account_tag_atsvalorretbienes","ATS_valorRetBienes","taxes"
"__export__.account_account_tag_atsvalorretservicios","ATS_valorRetServicios","taxes"
"__export__.account_account_tag_atsvalretserv100","ATS_valRetServ100","taxes"
"__export__.account_account_tag_atsbasenograiva","ATS_baseNoGraIva","taxes"
"__export__.account_account_tag_atsbaseimponible","ATS_baseImponible","taxes"
"__export__.account_account_tag_atsbaseimpgrav","ATS_baseImpGrav","taxes"
"__export__.account_account_tag_atsbaseimpexe","ATS_baseImpExe","taxes"
"__export__.account_account_tag_valorretiva","ATS_valorRetIva","taxes"
