"id","name","persona_id:id","identificacion_id:id"
"fiscal_position_consumidor","Consumidor (persona natural con cédula)","persona_06","identificacion_ci"
"fiscal_position_natural","Persona natural (no obligada a llevar contabilidad)","persona_06","identificacion_ruc"
"fiscal_position_obligada","Persona natural (obligada a llevar contabilidad)","persona_06","identificacion_ruc"
"fiscal_position_rise","Persona natural (contribuyente RISE)","persona_06","identificacion_ruc"
"fiscal_position_sociedad","Sociedad (persona jurídica)","persona_09","identificacion_ruc"
"fiscal_position_gobierno","Gobierno e instituciones gubernamentales","persona_09","identificacion_ruc"
"fiscal_position_especiales","Contribuyentes especiales (sociedad)","persona_09","identificacion_ruc"
"fiscal_position_especialesnatural","Contribuyentes especiales (persona natural)","persona_06","identificacion_ruc"
"fiscal_position_otros","Otros no sujetos a retención","persona_09","identificacion_ruc"
